canonical_name,cpt_code,code_system,category,cost_tier,used_in_protocols,protocol_ids,raw_names_from_protocols,vocabulary_aliases,has_cpt,needs_attention
EORTC QLQ-C30,,CPT,PRO,LOW,1,p17_durvalumab_bb172274,"EORTC QLQ-C30 and CX24, PGIS, EQ-5Di; EORTC QLQ-C30 and CX24, PGIS, EQ-5Dt","QLQ-C30, EORTC QoL questionnaire, quality of life QLQ-C30, cancer quality of life, EORTC C30, EORTC QLQ-C30 and CX24, PGIS, EQ-5Dt, EORTC QLQ-C30 and CX24, PGIS, EQ-5Di",NO,MISSING_CPT
EQ-5D,,CPT,PRO,LOW,1,p09,EQ-5D-5L,"EuroQol 5 Dimension, EQ-5D-3L, EQ-5D-5L, EQ5D, EuroQol, EQ-5D questionnaire",NO,MISSING_CPT
Efficacy Assessment,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"Electrocardiogram, 12-lead",93000,CPT,Cardiac,MEDIUM,2,p01_brivaracetam; p08,"12-lead ECG; 12-lead ECGl,m; ECG; ECG^e","12-lead ecg, ecg (12l), ecg, 12 lead ecg, electrocardiogram, ekg, 12-lead electrocardiogram, standard ecg, resting ecg, single ecg, ECG^e, 12-lead ECGl, m",YES,
Eligibility Assessment,,General,General,LOW,4,p08; p17_durvalumab_bb172274; pfizer_bnt162; prot_0001_1_3a3bae33,Confirm participant has only received 2 doses of BNT162 as part of the study and not outside the study; Confirm participant originally received placebo; Eligibility criteria; Inclusion/exclusion criteria; Review and consider eligibility,"eligibility assessment, eligibility review, inclusion/exclusion, i/e criteria, eligibility, ie criteria, Inclusion/exclusion criteria, Eligibility criteria, Review and consider eligibility, Confirm participant originally received placebo, Confirm participant has only received 2 doses of BNT162 as part of the study and not outside the study",NO,MISSING_CPT
Endoscopy,43239,CPT,Procedure,VERY_HIGH,1,p08,Flexible proctosigmoidoscopy/ colonoscopy and biopsyw,"endoscopy, upper endoscopy, colonoscopy, egd, esophagogastroduodenoscopy, flexible sigmoidoscopy, Flexible proctosigmoidoscopy/ colonoscopy and biopsyw",YES,
Evaluation,,CPT,Unknown,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Extraintestinal manifestations,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Extraintestinal manifestationso,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
FFPE tumor sample,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"FFPE tumor sample (mandatory; a newly acquired sample is preferred if available per site's routine clinical practice; otherwise, archival sample ≤3 months old can be provided)v",,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Fasting Visit,,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Fasting Visit d,,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Follow-up safety,,CPT,Unknown,LOW,1,p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Follow-up safety2,,CPT,Unknown,LOW,1,p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Follow-up safety7,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"Follow-up safety9,10",,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Follow-up safety²,,CPT,Unknown,LOW,1,p14,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Follow-up safety⁵,,CPT,Unknown,LOW,1,p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Follow-up safety⁷,,CPT,Unknown,LOW,1,p14,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Fundoscopy,92250,CPT,Ophthalmology,MEDIUM,1,p08,Ophthalmoscopy with OCT; Ophthalmoscopy with OCTr,"fundoscopy, fundus exam, fundus photography, dilated fundus exam, ophthalmoscopy, Ophthalmoscopy with OCT, Ophthalmoscopy with OCTr",YES,
Genetics research sample (optional DNA element for long-term storage/future use),,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Genetics research sample (optional DNA element for long-term storage/future use) w,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"HPV genotype, if available",,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Healthcare resource use (HOSPAD),,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Healthcare resource use (HOSPAD)j,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Healthcare resource use (HOSPAD)u,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Hematology,,CPT,Unknown,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Hematologyh,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Hepatitis Panel,86709,CPT,Laboratory,LOW,2,p08; p17_durvalumab_bb172274,"Hepatitis B and C and HIV; Virology screen (HIV, HBV, HCV); Virology screen (HIV, HBV, HCV)f","hepatitis panel, hep panel, hepatitis b, hepatitis c, hbsag, anti-hcv, hbv, hcv, hepatitis serology, Virology screen (HIV, HBV, HCV), Virology screen (HIV, HBV, HCV)f, Hepatitis B and C and HIV",YES,
IVRS call,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Immunogenicity Sample,,CPT,PK,LOW,3,p09; pfizer_bnt162; prot_0001_1_3a3bae33,Collect blood sample for immunogenicity assessment; Collect blood sample for immunogenicity assessment^e; Collect blood sample for immunogenicity assessmenta; Collect blood sample for immunogenicity assessmente; Immunogenicity (ADAs),"immunogenicity, ada, anti-drug antibody, ada sample, immunogenicity sample, anti-drug antibody sample, Immunogenicity (ADAs), Immunogenicity (ADAs)l, Collect blood sample for immunogenicity assessmente, Collect blood sample for immunogenicity assessment, Collect blood sample for immunogenicity assessment^e, Collect blood sample for immunogenicity assessmenta",NO,MISSING_CPT
Immunogenicity sampling,,CPT,Immunology,LOW,4,p14; p17_durvalumab; p17_durvalumab_bb172274; p_14_690eb522,Immunogenicity Assessment; Immunogenicity assessment (ADA sampling to identify ADA responses in patient circulation); Immunogenicity assessment (ADA sampling to identify ADA responses); Immunogenicity assessment (ADA sampling to identify ADA responses^g; Immunogenicity assessment (ADA sampling) to identify ADA responsesg,"immunogenicity sample, immunogenicity assessment, ADA sample, immunogenicity blood draw, immunogenicity specimen, Immunogenicity assessment (ADA sampling) to identify ADA responsesg, Immunogenicity assessment (ADA sampling to identify ADA responses in patient circulation), Immunogenicity assessment (ADA sampling to identify ADA responses), Immunogenicity assessment (ADA sampling to identify ADA responses^g",NO,MISSING_CPT
