canonical_name,cpt_code,code_system,category,cost_tier,used_in_protocols,protocol_ids,raw_names_from_protocols,vocabulary_aliases,has_cpt,needs_attention
Survival Follow-up,,General,General,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,Survival status; Survival statuse,"survival follow-up, survival status, long-term follow-up, ltfu, Survival statuse",NO,MISSING_CPT
Symptom-directed physical examination1,,CPT,Unknown,LOW,1,p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Symptom-directed physical examination¹,,CPT,Unknown,LOW,1,p14,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
TBNK,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Telephone Contact,,CPT,General,LOW,1,prot_0001_1_3a3bae33,Contact the participant by telephone,"telephone contact, phone contact, phone call, telephone visit, phone visit, Contact the participant by telephone",NO,MISSING_CPT
Thyroid Function Tests,84443,CPT,Laboratory,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,TSH (reflex free T3 or free T4); TSH (reflex free T3 or free T4f); TSHi (reflex free T3 or free T4)j,"thyroid function, tft, tfts, tsh, thyroid panel, free t4, ft4, t3, TSH (reflex free T3 or free T4f), TSH (reflex free T3 or free T4), TSHi (reflex free T3 or free T4)j",YES,
Tuberculosis questionnaire,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Tuberculosis questionnairee,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Tuberculosis test,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Tuberculosis teste,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Tumor Biopsy,20206,CPT,Procedure,VERY_HIGH,2,p08; p17_durvalumab_bb172274,Flexible proctosigmoidoscopy/ colonoscopy and biopsy; Optional newly acquired tumor biopsy collected upon progression; Optional newly acquired tumor biopsy collected upon progressionv,"tumor biopsy, biopsy, tissue biopsy, core biopsy, skin biopsy, punch biopsy, core needle biopsy, fresh biopsy, archival biopsy, tumor tissue collection, Flexible proctosigmoidoscopy/ colonoscopy and biopsy, Optional newly acquired tumor biopsy collected upon progression, Optional newly acquired tumor biopsy collected upon progressionv",YES,
Type of Visit,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Unscheduled Visit,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Urinalysis,81003,CPT,Laboratory,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,,"urinalysis, ua, urine analysis, urine dipstick, urine test",YES,
Vaccination,,CPT,Treatment,MEDIUM,4,p14; p_14_690eb522; pfizer_bnt162; prot_0001_1_3a3bae33,"Confirm participant meets local/national recommending criteria or is at least 175 days after Vaccination 2 (Visit 4/Visit 2); Confirm participant originally received BNT162b2 at Dose 1 and Dose 2; Confirm use of contraceptives (if appropriate); Days Since Most Recent Vaccination; Days Since Most Recent Vaccination (in Part C, if applicable)","vaccination, vaccine administration, immunization, vaccine dose, dose 1, dose 2, booster, Days Since Most Recent Vaccination, Days Since Most Recent Vaccination (in Part C, if applicable), Confirm use of contraceptives (if appropriate), Review temporary delay criteria, Confirm participant meets local/national recommending criteria or is at least 175 days after Vaccination 2 (Visit 4/Visit 2), Confirm participant originally received BNT162b2 at Dose 1 and Dose 2",NO,MISSING_CPT
Verification inclusion/ exclusion criteria,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Viral Load,,CPT,Laboratory,MEDIUM,1,pfizer_bnt162,"For participants who are HIV-positive, record latest
CD4 count and HIV viral load","viral load, hiv viral load, hbv dna, hcv rna, pcr viral load, For participants who are HIV-positive, record latest
CD4 count and HIV viral load",NO,MISSING_CPT
Visit,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Visit Description,,CPT,Unknown,LOW,2,pfizer_bnt162; prot_0001_1_3a3bae33,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Visit Number,,CPT,Unknown,LOW,3,p14; p_14_690eb522; prot_0001_1_3a3bae33,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Visit Window (Days),,CPT,Unknown,LOW,2,pfizer_bnt162; prot_0001_1_3a3bae33,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Visit Window (days),,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Vital Signs,99000,CPT,General,LOW,3,p08; p17_durvalumab; p17_durvalumab_bb172274,"Vital signs; Vital signs (temperature, respiratory rate, blood pressure, and pulse); Vital signsd; Vital signsj,k","vital signs, vitals, vs, vital sign assessment, vital sign measurement, Vital signsj, k, Vital signs (temperature, respiratory rate, blood pressure, and pulse), Vital signsd",YES,
Week,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Week of Treatment,,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Whole blood for gene expression (PAXgene RNA tubes),,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Whole blood for gene expression (PaxGene-RNA tubes),,CPT,Unknown,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Window Allowance (Days),,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
World Health Organization.,,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
X at Day 30,,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"X at Day 30, X at Month 2",,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"X at Day 30, X at Month 2, X at Month 3",,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"X at Day 30, X at Month 2, X at Month 6",,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
X at Day 30; As clinically indicated,,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
X at Month 3,,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"X at Month 3, X at Month 6, X at Month 9, X at Month 12, X at Month 15, X at 21 months and every 6 months",,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"X at Month 3, Xh at Month 6",,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
X-Ray,71046,CPT,Imaging,MEDIUM,1,p08,Chest X-ray; Chest X-rayd,"x-ray, xray, radiograph, chest x-ray, cxr, chest radiograph, Chest X-rayd",YES,
ctDNA,,CPT,Laboratory,HIGH,2,p17_durvalumab; p17_durvalumab_bb172274,ctDNA (plasma),"ctdna, circulating tumor dna, cell-free dna, cfdna, liquid biopsy, ctDNA (plasma)",NO,MISSING_CPT
e-Diary,,CPT,PRO,LOW,4,p08; p14; p_14_690eb522; prot_0001_1_3a3bae33,"Collect e-diary or assist the participant to delete application; Explain participant communication methods (including for e-diary completion), assist the participant with downloading the app, or issue provisioned device, if required; Request the participant return the e-diary device or assist the participant to delete the application; Request the participant return the e-diary or assist the participant to delete the application; Review of eDiary","e-diary, ediary, electronic diary, patient diary, daily diary, eDiary instructiong, Review of eDiary, eDiary activation for recording solicited adverse reactions (7 days)⁶, eDiary activation for recording solicited adverse reactions (7 days)6, eDiary Weekly prompts for safety follow-up, eDiary Weekly prompts for surveillance for COVID-19, eDiary activation for safety follow-up, eDiary activation for surveillance for COVID-19/Unscheduled Visit, Collect e-diary or assist the participant to delete application, Request the participant return the e-diary or assist the participant to delete the application, Explain participant communication methods (including for e-diary completion), assist the participant with downloading the app, or issue provisioned device, if required, Request the participant return the e-diary device or assist the participant to delete the application",NO,MISSING_CPT
